SYMBOL,description,go_id
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0016020
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0001818
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0050868
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0031410
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0030335
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0016021
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0070374
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0042130
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0008201
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:2000134
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0009650
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0006629
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0018158
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0002862
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0051702
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0009410
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0009611
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0009636
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0042311
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0043403
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0017124
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0043154
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0045444
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0014902
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0007605
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0008283
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0016491
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0060047
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0001885
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0033599
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0040029
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0010269
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0010332
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0001659
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0033194
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0060055
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0009609
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0006641
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0004602
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0005623
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0042542
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0043534
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0055114
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0005739
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0006979
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0045454
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0051897
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0051450
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0006749
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:1902176
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0000302
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0098869
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0097413
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0004601
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:1902042
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0090201
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0061136
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0005829
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0048741
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0005737
GPX1,glutathione peroxidase 1 [Source:NCBI gene;Acc:100857115],GO:0042744
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0005615
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0042744
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0004602
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0008430
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0051289
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0055114
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0098869
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0006979
GPX3,glutathione peroxidase 3 [Source:NCBI gene;Acc:427638],GO:0004601
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0047066
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0005634
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0004602
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0042802
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0098869
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0004601
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0055114
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0007283
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0006979
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0110076
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0006325
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0016491
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0032991
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0005739
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0005654
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0005829
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0005635
GPX4,glutathione peroxidase 4 [Source:NCBI gene;Acc:374056],GO:0051258
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0016491
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0055114
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0006979
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0005783
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0004602
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0004096
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0004601
GPX7,glutathione peroxidase 7 [Source:NCBI gene;Acc:424643],GO:0098869
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0098869
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0004602
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0016491
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0006979
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0016021
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0055114
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0004601
GPX8,glutathione peroxidase 8 (putative) [Source:NCBI gene;Acc:426170],GO:0016020
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0019901
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005768
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005886
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0048646
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0071479
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005634
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0008180
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0012506
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0008286
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:2000379
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005730
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0001784
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0019903
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005070
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005154
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0030154
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005737
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0009967
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005515
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0042770
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005168
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0043408
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0030838
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0046875
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005911
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0042802
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0016020
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0031623
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0017124
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0005654
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0019904
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0043560
GRB2,growth factor receptor bound protein 2 [Source:NCBI gene;Acc:386572],GO:0070436
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0006811
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007616
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0030054
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0050804
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007268
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0050804
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0038023
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0035235
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005216
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0015276
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0035249
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0034220
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098839
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005886
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0016020
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0016021
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005886
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0004970
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0004971
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099583
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0044308
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0030054
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098839
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043197
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0016020
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032281
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043197
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005216
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098978
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099061
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:1904315
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043005
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043025
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0045211
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008021
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0045202
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008066
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:1904315
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0016021
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0045211
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0035235
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0006811
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032591
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0036477
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0034220
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032281
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005783
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032591
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008328
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0009986
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0014069
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0030425
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099061
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0001661
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007613
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0045202
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008066
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0035249
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007613
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032590
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060292
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0044309
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0055037
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060076
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098794
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098978
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0097060
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0098794
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0038023
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0004970
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0014069
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0030425
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060078
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0009986
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0036477
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043005
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0043025
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0031623
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0004971
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0055037
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060076
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0032590
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0015276
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007616
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0001661
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008328
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0044308
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099566
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060078
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0060292
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099583
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0044309
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0005783
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0031623
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0008021
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0007268
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0097060
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 [Source:NCBI gene;Acc:414893],GO:0099566
GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:NCBI gene;Acc:414894],GO:1904315
GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:NCBI gene;Acc:414894],GO:0045202
GRIA2,glutamate ionotropic receptor AMPA type subunit 2 [Source:NCBI gene;Acc:414894],GO:0008066
